station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KJAN,2011-04-27 18:00:00,5,55.6,19894.0,-61.3,-74.3,M,M,M,M
KJAN,2011-04-27 18:00:00,6,53.6,20116.0,M,M,135.0,15,62.0,65.0
KJAN,2011-04-27 18:00:00,5,51.8,20329.0,-64.1,-76.1,M,M,M,M
KJAN,2011-04-27 18:00:00,6,51.0,20421.0,M,M,150.0,25,62.0,65.0
KJAN,2011-04-27 18:00:00,4,50.0,20550.0,-62.5,-74.5,160.0,22,62.0,65.0
KJAN,2011-04-27 18:00:00,6,48.6,20726.0,M,M,170.0,15,61.0,65.0
KJAN,2011-04-27 18:00:00,5,47.6,20854.0,-60.7,-73.7,M,M,M,M
KJAN,2011-04-27 18:00:00,6,46.3,21031.0,M,M,155.0,13,61.0,65.0
KJAN,2011-04-27 18:00:00,6,44.0,21336.0,M,M,170.0,15,61.0,65.0
KJAN,2011-04-27 18:00:00,5,43.4,21427.0,-61.1,-74.1,M,M,M,M
KJAN,2011-04-27 18:00:00,6,41.9,21640.0,M,M,115.0,10,61.0,65.0
KJAN,2011-04-27 18:00:00,5,41.6,21691.0,-58.1,-72.1,M,M,M,M
KJAN,2011-04-27 18:00:00,5,40.3,21891.0,-57.5,-72.5,M,M,M,M
KJAN,2011-04-27 18:00:00,5,33.6,23028.0,-60.5,-74.5,M,M,M,M
KJAN,2011-04-27 18:00:00,5,32.1,23314.0,-57.3,-72.3,M,M,M,M
KJAN,2011-04-27 18:00:00,4,30.0,23750.0,-56.3,-72.3,90.0,8,60.0,64.0
KJAN,2011-04-27 18:00:00,5,28.9,23987.0,-55.9,-72.9,M,M,M,M
KJAN,2011-04-27 18:00:00,6,27.1,24384.0,M,M,165.0,3,60.0,64.0
KJAN,2011-04-27 18:00:00,5,25.5,24778.0,-57.5,-74.5,M,M,M,M
KJAN,2011-04-27 18:00:00,5,24.1,25137.0,-53.5,-73.5,M,M,M,M
KJAN,2011-04-27 18:00:00,5,22.7,25522.0,-52.3,-73.3,M,M,M,M
KJAN,2011-04-27 18:00:00,6,21.4,25908.0,M,M,25.0,1,60.0,64.0
KJAN,2011-04-27 18:00:00,4,20.0,26340.0,-53.1,-75.1,140.0,8,60.0,64.0
KJAN,2011-04-27 18:00:00,6,19.5,26517.0,M,M,175.0,14,60.0,64.0
KJAN,2011-04-27 18:00:00,5,19.1,26636.0,-52.9,-75.9,M,M,M,M
KJAN,2011-04-27 18:00:00,6,17.7,27127.0,M,M,190.0,5,60.0,64.0
KJAN,2011-04-27 18:00:00,6,16.9,27432.0,M,M,180.0,11,60.0,64.0
KJAN,2011-04-27 18:00:00,6,16.1,27736.0,M,M,215.0,14,59.0,65.0
KJAN,2011-04-27 18:00:00,5,15.6,27960.0,-45.3,-76.3,M,M,M,M
KJAN,2011-04-27 18:00:00,6,15.4,28041.0,M,M,280.0,26,59.0,65.0
KJAN,2011-04-27 18:00:00,5,14.2,28584.0,-46.7,-79.7,M,M,M,M
KJAN,2011-04-27 18:00:00,5,12.2,29600.0,-41.1,-69.1,M,M,M,M
KJAN,2011-04-27 18:00:00,6,10.7,30480.0,M,M,290.0,29,62.0,68.0
KJAN,2011-04-27 18:00:00,5,10.4,30678.0,-42.7,-71.7,M,M,M,M
KJAN,2011-04-27 18:00:00,5,10.1,30876.0,-39.7,-66.7,M,M,M,M
KJAN,2011-04-27 18:00:00,4,10.0,30960.0,-38.9,-66.9,265.0,31,62.0,68.0
KJAN,2011-04-27 18:00:00,6,9.8,31089.0,M,M,275.0,31,62.0,68.0
KJAN,2011-04-27 18:00:00,5,9.7,31168.0,-38.7,-66.7,M,M,M,M
